gender,degree,stream,ssc_p,hsc_p,cgpa,workex,coding_skills,communication_skills,analytical_skills,domain_knowledge,projects,internships,certifications,placed_status,placed_sector,placed_role,salary_lpa
M,MCA,Computer Applications,82.52,72.87,9.45,No,8.7,4.0,2.7,6.0,2,2,0,Placed,Tech,Software Engineer,17.55
M,MBA,Operations,71.61,79.44,5.87,No,4.9,7.0,5.2,5.9,2,0,0,Placed,Consulting,Business Analyst,6.29
F,B.Com,Accounting & Finance,76.44,64.02,9.53,No,2.2,8.2,9.1,5.8,1,1,1,Placed,Consulting,Business Analyst,11.3
M,B.Sc,Biotech,70.82,61.31,7.19,Yes,6.1,8.2,7.2,4.0,0,0,1,Placed,Consulting,Business Analyst,11.21
F,B.Tech,Computer Science,52.48,76.13,7.54,No,6.6,7.5,4.0,8.8,2,0,2,Placed,Consulting,Business Analyst,6.5
M,B.Tech,Computer Science,61.39,69.67,6.2,No,6.1,4.8,5.0,6.9,3,1,0,Not Placed,Not Placed,None,
F,B.Tech,Mechanical,76.72,78.3,6.57,No,1.8,7.0,6.7,9.3,2,1,0,Placed,Core Engineering,Graduate Engineer Trainee,7.44
F,BBA,Finance,71.67,60.94,6.9,Yes,2.2,7.5,8.4,9.9,0,0,1,Placed,Finance,Risk Associate,11.0
M,B.Sc,Biotech,81.81,52.21,6.25,No,1.0,3.8,7.1,3.0,1,0,1,Not Placed,Not Placed,None,
M,B.Com,General Commerce,74.03,64.67,7.25,No,3.3,4.8,7.2,7.0,1,0,2,Placed,Finance,Financial Analyst,9.2
M,B.Tech,Computer Science,60.33,62.34,7.01,No,7.2,7.8,7.0,5.6,2,0,1,Placed,Consulting,Business Analyst,8.84
F,MBA,Business Analytics,62.04,69.21,9.72,No,4.5,7.8,7.0,5.8,2,1,0,Placed,Consulting,Operations Analyst,8.82
M,BBA,Finance,71.03,63.63,6.1,No,3.1,4.2,6.2,7.0,0,1,1,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,46.86,77.41,7.62,Yes,7.0,7.7,7.5,5.7,2,0,3,Placed,Consulting,Operations Analyst,10.99
M,B.Tech,Information Technology,86.73,67.12,7.8,No,6.0,6.6,3.1,7.3,2,2,2,Not Placed,Not Placed,None,
M,B.Tech,Civil,74.42,71.5,6.22,No,2.9,7.7,8.8,9.8,0,1,0,Placed,Core Engineering,Design Engineer,6.87
M,B.Tech,Computer Science,82.27,71.58,8.32,No,7.3,5.5,3.2,6.4,3,2,1,Not Placed,Not Placed,None,
M,BCA,Computer Applications,54.19,71.95,7.02,No,6.3,7.5,4.9,4.1,2,2,1,Placed,Consulting,Business Analyst,6.47
M,MCA,Computer Applications,82.45,69.76,4.51,No,7.0,7.8,6.2,5.3,3,0,1,Not Placed,Not Placed,None,
F,B.Tech,Electronics,92.31,75.11,8.29,No,4.4,6.0,7.5,7.4,2,1,2,Placed,Core Engineering,Design Engineer,5.92
F,B.Sc,Physics,56.79,62.04,6.16,No,4.1,6.5,2.0,5.5,0,0,2,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,77.71,83.99,6.24,No,7.4,5.5,6.5,8.3,2,0,1,Placed,Tech,Data Analyst,10.27
F,B.Tech,Computer Science,70.01,67.63,8.33,No,8.2,9.0,7.7,10.0,3,1,2,Placed,Consulting,Business Analyst,10.67
F,MCA,Computer Applications,54.56,56.88,7.08,No,8.1,6.3,8.0,7.5,2,1,2,Placed,Tech,Data Analyst,13.23
F,BCA,Computer Applications,74.93,71.88,8.6,No,6.6,5.1,5.5,8.7,2,1,0,Placed,Tech,Software Engineer,12.51
M,B.Com,Accounting & Finance,78.34,61.49,8.95,No,2.8,5.4,8.5,6.2,0,0,0,Placed,Consulting,Operations Analyst,7.89
M,B.Tech,Computer Science,63.99,76.65,6.73,Yes,8.0,6.7,5.6,5.7,3,0,0,Not Placed,Not Placed,None,
M,BCA,Computer Applications,81.66,92.1,8.45,Yes,6.6,7.6,5.9,6.8,4,0,3,Placed,Consulting,Business Analyst,9.34
F,B.Sc,Computer Science,53.33,62.13,6.59,No,4.7,4.5,5.0,9.5,0,0,1,Not Placed,Not Placed,None,
M,B.Tech,Civil,55.05,73.32,10.0,No,1.9,9.3,5.2,8.0,2,2,2,Placed,Core Engineering,Graduate Engineer Trainee,6.38
M,B.Sc,Physics,71.37,52.44,6.67,No,4.4,7.0,7.2,4.9,2,0,0,Placed,Consulting,Business Analyst,8.11
M,B.Tech,Mechanical,70.25,74.54,8.73,No,4.3,7.2,6.7,7.9,1,1,1,Placed,Core Engineering,Graduate Engineer Trainee,5.79
M,B.Tech,Computer Science,62.83,61.14,8.51,No,10.0,6.4,7.2,6.2,3,1,1,Placed,Tech,Data Analyst,17.51
F,MBA,Marketing,78.1,63.75,7.88,No,3.5,6.5,6.8,7.7,1,0,1,Placed,Finance,Risk Associate,7.59
M,MBA,Operations,75.31,58.99,6.7,Yes,2.7,6.3,7.6,7.6,0,0,2,Placed,Finance,Financial Analyst,11.17
M,BBA,General Management,78.58,77.32,7.32,No,3.9,8.0,7.8,7.2,1,0,0,Not Placed,Not Placed,None,
F,B.Tech,Electronics,68.77,80.07,4.92,No,5.5,6.5,3.9,8.0,2,1,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,76.03,70.23,7.77,No,10.0,7.7,5.2,6.1,3,0,1,Placed,Tech,Software Engineer,15.77
F,B.Com,General Commerce,65.54,61.36,7.92,No,1.0,5.8,6.2,7.3,0,0,1,Not Placed,Not Placed,None,
F,MCA,Computer Applications,90.54,85.9,7.66,Yes,8.6,6.8,6.5,4.5,1,0,0,Not Placed,Not Placed,None,
F,B.Tech,Electronics,61.87,62.5,4.0,No,8.6,5.3,5.5,5.1,2,0,1,Not Placed,Not Placed,None,
M,BCA,Computer Applications,91.05,48.38,5.98,Yes,7.1,8.3,7.9,7.0,2,1,2,Placed,Consulting,Business Analyst,11.99
M,B.Tech,Mechanical,70.35,74.58,6.6,No,1.7,5.2,9.5,7.0,2,0,0,Placed,Core Engineering,Site Engineer,5.63
F,MBA,Human Resources,56.24,58.95,7.85,Yes,4.5,6.0,6.8,8.6,2,0,0,Placed,Finance,Financial Analyst,7.84
F,B.Tech,Computer Science,83.68,79.89,7.85,No,7.6,6.0,6.6,4.3,2,1,0,Placed,Tech,Software Engineer,13.31
F,B.Com,Accounting & Finance,71.26,66.19,7.3,Yes,1.4,6.0,7.4,6.5,0,0,2,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,78.51,76.04,8.26,No,8.8,7.6,3.7,5.0,1,0,0,Placed,Tech,Software Engineer,14.46
M,BCA,Computer Applications,82.24,84.02,6.27,No,6.1,6.0,6.5,7.1,2,0,0,Not Placed,Not Placed,None,
M,BCA,Computer Applications,73.38,57.91,8.23,No,5.4,8.6,8.0,7.2,2,1,0,Placed,Consulting,Strategy Consultant,10.56
M,B.Tech,Computer Science,64.08,64.34,8.07,Yes,6.2,5.3,5.5,4.7,3,0,1,Placed,Tech,Software Engineer,10.42
M,MBA,Finance,79.76,69.24,7.95,No,3.8,6.8,7.0,7.3,1,0,1,Not Placed,Not Placed,None,
F,B.Com,Accounting & Finance,70.01,85.38,7.28,No,1.0,5.3,9.2,7.9,0,0,0,Not Placed,Not Placed,None,
M,MBA,Operations,76.86,63.42,9.7,No,1.0,7.1,6.4,8.4,0,1,0,Placed,Consulting,Operations Analyst,7.54
M,BBA,General Management,48.46,64.05,8.09,Yes,1.6,6.5,5.1,8.1,1,1,0,Not Placed,Not Placed,None,
M,B.Sc,Computer Science,74.47,74.78,6.34,No,5.1,6.3,9.6,6.0,1,1,0,Not Placed,Not Placed,None,
F,MBA,Business Analytics,63.61,64.23,7.8,No,4.4,8.3,7.0,7.6,1,0,1,Placed,Consulting,Business Analyst,9.26
M,B.Tech,Information Technology,86.53,71.53,8.4,No,8.5,5.5,4.8,5.4,3,1,0,Placed,Tech,Data Analyst,15.16
M,B.Tech,Computer Science,76.23,54.48,6.79,No,6.1,7.4,6.4,6.9,2,2,0,Placed,Consulting,Operations Analyst,7.74
M,B.Tech,Computer Science,72.4,92.14,8.81,No,8.0,5.3,7.9,4.8,3,0,1,Placed,Tech,Data Analyst,13.8
M,B.Tech,Information Technology,74.86,56.52,7.96,No,6.1,6.7,6.5,3.7,2,0,1,Placed,Consulting,Strategy Consultant,7.2
F,MCA,Computer Applications,60.02,66.78,4.69,No,7.6,4.7,7.2,6.8,2,0,1,Not Placed,Not Placed,None,
F,B.Tech,Electronics,86.23,69.68,7.86,No,5.3,5.5,5.2,6.5,1,0,0,Not Placed,Not Placed,None,
M,BBA,Marketing,89.91,89.13,7.01,No,2.8,6.4,8.7,4.5,0,0,0,Placed,Consulting,Business Analyst,9.11
M,MCA,Computer Applications,73.93,56.75,8.14,No,8.7,9.2,7.3,4.6,2,1,1,Placed,Consulting,Operations Analyst,10.56
F,B.Tech,Information Technology,85.9,89.84,8.63,No,8.0,6.7,8.1,6.9,2,0,1,Placed,Tech,Software Engineer,13.56
